data,at1,at2,at3,at4,at5
0,-0.449,-2.031,-1.903,-1.266,-0.79
1,1.125,0.569,0.617,0.436,-0.965
2,0.408,0.271,-1.42,0.405,0.586
3,0.291,-0.147,-0.325,0.522,-0.16
4,1.07,-1.556,1.046,0.765,0.502
5,-0.168,-0.205,-0.564,-0.723,-1.039
6,-0.4,-1.174,0.268,1.273,-0.44
7,-1.74,-0.184,0.403,0.608,0.009
8,-0.274,-0.085,-0.61,0.181,-1.165
9,-0.291,0.481,1.18,1.414,-0.109
10,0.312,1.329,0.065,0.256,0.442
11,0.333,-0.1,0.35,1.659,0.447
12,0.378,0.562,0.478,0.245,0.18
13,-0.044,0.602,0.176,-1.789,1.502
14,-0.798,-0.317,0.632,0.436,-0.46
15,1.384,-0.892,-1.0,-2.717,-0.253
16,-0.978,1.003,-0.463,-1.293,-1.724
17,-3.324,-0.075,-1.086,-0.055,-0.344
18,0.132,0.132,1.383,2.597,2.567
19,-0.767,-1.606,2.258,0.817,1.219
20,-1.098,0.152,-0.101,1.666,-0.236
21,-0.837,-0.46,-0.005,-0.437,0.998
22,2.216,-2.118,0.233,-1.181,0.923
23,0.281,0.849,1.334,-1.508,-0.008
24,0.465,0.842,-0.881,0.025,-1.077
25,1.163,0.036,1.114,-0.346,-1.683
26,-1.008,-0.586,1.073,-0.717,0.587
27,-1.908,1.351,0.763,1.944,1.085
28,-1.408,-0.186,0.992,-0.64,0.007
29,1.536,-0.71,-0.096,-0.138,-0.132
30,-0.366,-0.571,0.481,0.369,0.699
31,1.701,0.201,1.113,-0.023,0.282
32,0.018,0.121,-0.829,-1.471,0.723
33,0.003,-1.682,-0.507,0.454,-0.175
34,-1.37,1.34,0.169,-0.268,0.61
35,0.465,-1.714,0.218,0.63,-1.031
36,1.001,-0.596,-0.772,-0.025,-0.42
37,0.754,0.004,-0.678,-0.95,1.068
38,0.435,-1.538,-2.841,2.496,-0.424
39,-1.631,-0.319,-0.371,-1.074,-0.903
40,0.306,0.713,0.008,0.777,-1.232
41,0.495,-1.205,-0.097,-0.511,1.192
42,0.482,-1.017,0.025,-0.548,-1.277
43,0.818,-0.079,-0.755,-0.289,-1.222
44,-1.948,0.647,0.18,-1.28,2.211
45,0.603,0.135,0.679,-0.414,-2.497
46,-0.588,-1.106,-0.717,1.374,-1.064
47,0.412,0.831,-0.003,0.544,-0.111
48,-0.49,-0.89,1.675,1.399,-0.758
49,-0.35,-0.245,-0.175,0.461,-0.401
50,0.229,1.547,-2.009,-0.406,-0.386
51,-0.733,0.593,0.242,-1.532,0.479
52,-0.885,-0.255,0.083,0.884,1.762
53,-0.713,-0.298,2.069,-0.006,0.502
54,0.946,0.076,-0.116,0.716,0.795
55,1.982,-0.784,-0.25,0.471,0.392
56,-0.795,0.311,0.859,-0.583,-0.213
57,1.27,-0.644,0.518,0.187,1.595
58,0.021,-0.309,-0.295,0.762,-1.502
59,0.087,-0.985,1.728,-1.38,-0.288
60,-0.21,1.054,0.32,-1.33,-0.671
61,-0.262,-0.55,-1.021,0.559,-1.532
62,0.238,1.431,-1.017,-0.861,-0.023
63,1.842,0.922,-0.489,0.998,0.476
64,-0.759,-0.551,-0.279,-0.063,-0.557
65,-1.028,-1.943,0.336,0.018,-0.315
66,-0.796,0.605,0.201,0.125,-0.145
67,1.05,0.496,-0.312,-1.031,0.069
68,-1.32,-1.295,-0.856,-0.306,1.17
69,0.015,0.338,-0.854,0.022,0.56
70,-0.528,-0.952,0.808,-1.023,1.447
71,0.691,0.607,-0.542,-0.682,0.888
72,1.049,1.098,1.799,-1.282,0.566
73,1.714,1.858,0.55,0.227,-0.533
74,0.517,-0.622,0.056,1.201,-0.465
75,-0.719,-0.104,-0.981,-0.562,-0.048
76,-0.134,0.239,-0.143,1.524,-3.297
77,-0.848,-1.095,0.561,-0.355,-0.248
78,-0.364,-2.0,-0.487,-1.068,-1.766
79,0.882,-1.81,-0.844,-0.274,-2.156
80,0.193,-1.485,-0.315,0.384,1.33
81,-1.345,-1.286,-0.933,0.217,0.947
82,-1.145,-0.403,-1.878,-0.357,-0.688
83,1.16,1.332,-0.875,0.256,0.103
84,-0.841,1.703,-0.599,0.07,-0.493
85,1.816,-0.79,-1.043,-0.55,-1.157
86,-0.699,0.215,-0.51,0.613,1.729
87,2.086,-0.892,-0.839,0.965,0.652
88,1.018,-1.411,-0.222,-0.67,-0.287
89,2.526,0.724,-1.166,-0.718,-0.145
90,-0.358,0.409,3.302,-0.467,0.373
91,-0.96,-2.03,-0.514,-0.71,0.782
92,0.824,1.276,0.5,-1.074,-0.747
93,0.178,0.156,-0.055,-1.617,0.386
94,0.507,-1.371,-0.116,1.416,0.429
95,1.254,-0.573,2.588,-0.761,0.742
96,-0.499,-0.486,-0.373,-0.795,-0.534
97,0.987,-0.37,-1.048,0.664,0.205
98,0.929,-1.312,0.206,-0.938,-0.974
99,-0.946,-1.776,0.868,0.863,-1.221
