data,at1,at2,at3,at4,at5
0,0.539,0.429,0.352,0.473,1.583
1,-0.485,-0.124,-0.211,0.154,-0.227
2,2.461,0.318,-0.864,1.979,-0.324
3,-0.433,0.257,1.097,-1.617,0.058
4,-1.846,1.106,-0.151,1.295,0.885
5,-0.88,-0.379,-0.129,0.587,0.823
6,0.179,-1.467,0.01,-0.314,-1.05
7,0.782,-0.174,-0.566,-1.037,0.824
8,-0.518,-0.323,-1.93,0.564,0.005
9,0.428,-1.858,0.868,-0.511,0.274
10,-0.227,1.241,-1.335,0.448,0.1
11,0.861,-0.307,0.093,-0.302,-1.97
12,0.412,0.404,-0.504,0.646,-0.766
13,3.322,-0.515,1.515,-0.709,1.006
14,0.662,-1.46,-0.745,-0.47,-1.1
15,0.751,0.618,0.834,0.491,-1.271
16,-0.589,0.028,-0.725,0.793,0.687
17,1.25,0.904,-0.421,-0.448,-2.086
18,0.988,1.481,-0.332,-0.989,0.009
19,0.097,1.344,-1.746,-1.567,0.917
20,0.68,2.811,0.281,0.54,0.773
21,-0.232,0.737,-1.226,0.26,-1.867
22,1.22,0.653,-1.364,0.024,0.164
23,-0.371,-0.644,-1.584,0.343,-1.035
24,-0.158,-0.009,1.131,0.343,-0.149
25,2.272,-0.415,0.17,-0.346,0.23
26,-1.059,-0.646,-0.74,-0.395,-0.261
27,2.553,0.975,0.826,0.71,-0.549
28,-0.572,0.519,-1.001,-1.535,0.162
29,-0.276,-0.258,-0.15,-0.582,-2.33
30,-2.381,1.091,-0.856,-0.761,0.538
31,-0.97,0.1,-0.083,-0.507,0.652
32,0.216,-0.527,0.496,0.342,0.739
33,1.236,-0.107,-1.633,-0.369,-1.622
34,-2.007,0.537,0.562,1.262,0.094
35,-0.532,-0.024,1.237,0.523,-0.784
36,-0.686,0.941,0.558,-0.425,0.619
37,1.447,1.347,-0.085,0.696,0.4
38,0.754,0.508,-1.558,1.474,-1.285
39,-0.939,0.437,1.067,-1.034,1.705
40,-0.035,1.94,1.445,-0.014,-0.57
41,-0.831,-1.808,0.369,1.425,-0.43
42,0.235,1.315,-0.491,0.564,0.916
43,0.439,-0.981,1.622,-3.154,-1.553
44,-0.124,-0.889,-0.205,0.2,-0.05
45,-1.461,1.316,0.129,-0.098,-1.037
46,0.468,0.509,-1.307,-1.585,-0.235
47,1.266,-0.14,-0.083,-1.242,1.357
48,-0.439,0.826,1.677,0.413,0.509
49,0.2,-0.352,-1.599,1.523,0.243
50,-2.516,-0.223,-0.355,0.241,-0.139
51,-2.322,0.654,1.797,-1.051,-0.374
52,1.046,0.5,-0.754,-0.337,1.763
53,-2.225,1.582,-2.367,-0.992,-1.647
54,-0.053,-2.59,0.115,1.169,0.722
55,-0.049,-0.107,-1.011,1.492,-0.257
56,0.028,0.419,-0.053,1.715,-0.61
57,-1.865,0.635,-1.215,0.577,1.919
58,-0.391,0.117,-0.429,0.249,-1.189
59,-0.475,-0.627,0.159,0.689,0.65
60,-0.146,1.496,0.164,0.089,-1.521
61,-0.314,-0.905,2.585,0.985,-0.86
62,0.634,0.431,0.611,1.008,0.419
63,0.038,-1.534,1.291,1.693,0.822
64,0.767,-0.611,-0.201,2.098,-0.01
65,0.503,0.526,-0.12,1.12,-0.496
66,1.303,-0.136,0.159,1.833,-0.226
67,1.102,-0.94,0.823,-1.255,-0.076
68,-1.012,1.222,0.788,1.113,1.062
69,-0.064,-0.196,-0.678,0.749,-0.298
70,1.188,-1.205,-1.875,-1.072,0.457
71,0.028,0.143,0.051,0.989,-0.428
72,0.374,0.962,-0.04,0.643,-0.788
73,1.158,-0.687,-2.605,1.261,0.143
74,0.598,-0.096,0.154,0.662,1.049
75,1.308,-0.933,-0.675,-1.052,0.699
76,-0.214,-1.584,0.622,1.511,0.734
77,-0.914,-0.066,-0.924,0.478,1.242
78,0.453,-1.124,-0.017,-1.11,1.237
79,0.649,0.587,-0.651,0.063,0.787
80,0.088,-1.403,0.604,-0.056,0.17
81,0.928,0.226,0.26,0.098,-0.244
82,0.094,-2.437,1.397,0.903,0.885
83,0.357,0.764,-1.675,0.809,-2.443
84,1.472,0.475,-0.512,1.416,1.198
85,0.605,-1.039,-0.508,0.933,-0.81
86,0.423,0.544,0.164,-2.672,-1.495
87,0.241,0.18,1.02,-1.372,-1.188
88,0.324,-0.772,-0.517,0.843,-0.068
89,1.148,-0.202,-0.887,-0.516,0.235
90,-1.087,0.186,0.192,-0.793,-0.411
91,0.012,0.197,0.656,1.135,-0.304
92,1.631,-2.117,-0.237,0.86,0.304
93,-0.666,-1.066,1.193,0.411,0.757
94,-0.182,-1.125,-0.039,-0.16,0.113
95,1.11,1.184,-1.326,-0.405,1.366
96,-0.471,0.353,-0.413,-1.475,-0.128
97,-0.775,-0.182,0.6,-0.63,0.278
98,-1.046,1.144,0.376,-0.711,0.209
99,1.386,-0.167,-0.174,0.323,1.584
