data,at1,at2,at3,at4,at5
0,-0.656,1.183,0.453,-0.78,0.659
1,-0.256,0.244,-0.415,-0.567,0.457
2,-1.46,0.5,0.245,-0.459,-0.762
3,0.174,1.35,-0.915,0.081,2.367
4,-1.211,-2.479,-3.016,0.732,-0.54
5,-1.466,-0.137,0.425,1.727,1.336
6,-0.098,0.536,0.932,-1.036,0.132
7,0.375,-1.69,0.052,0.786,-1.124
8,0.314,0.684,-1.157,-0.281,0.205
9,0.942,0.022,-0.579,1.094,0.991
10,0.523,-0.352,0.057,1.74,-0.3
11,0.726,-0.266,0.75,0.111,-0.894
12,0.115,-0.604,-0.164,-0.086,0.759
13,0.721,0.393,-0.118,-1.237,-0.49
14,-0.134,-0.718,-0.921,-2.247,-0.842
15,1.989,-0.191,-1.353,1.159,0.304
16,-0.055,0.851,0.595,0.645,1.158
17,0.412,-1.683,-1.508,-1.126,-0.247
18,0.591,0.522,-0.839,0.153,0.338
19,0.018,1.577,-1.86,0.902,-0.703
20,-0.547,0.962,-0.071,0.515,0.984
21,0.474,-1.027,0.201,-0.545,1.588
22,-0.271,1.852,0.077,0.134,-0.539
23,-0.148,0.32,-2.06,-0.487,-1.173
24,0.68,0.381,-1.395,-0.126,0.143
25,0.391,0.781,-0.199,0.788,-0.674
26,0.364,0.656,-0.272,0.327,0.019
27,1.732,-1.083,1.34,-0.805,0.617
28,0.397,0.47,1.173,1.301,1.701
29,-0.384,-0.005,0.795,-0.094,-0.871
30,-1.052,1.408,0.434,-0.578,-2.161
31,-0.762,-1.126,-1.137,-0.056,0.035
32,-0.229,0.796,-0.51,-1.217,0.68
33,-1.292,1.849,1.004,-0.632,0.141
34,0.699,-0.142,-0.525,-0.999,1.687
35,0.855,2.77,-1.952,0.77,0.507
36,-1.492,0.829,0.799,0.655,-0.08
37,1.745,-1.949,1.26,1.554,0.441
38,1.015,0.42,2.234,0.549,-0.888
39,-0.702,0.568,0.717,0.863,1.164
40,-0.897,-0.405,1.046,-1.465,0.128
41,0.563,0.169,-1.066,-0.298,0.213
42,0.612,2.18,-0.714,-0.351,0.287
43,1.201,-1.259,-0.202,0.929,0.533
44,0.293,-0.673,0.09,1.808,-0.488
45,1.951,0.667,-3.134,-0.449,0.53
46,0.438,-1.196,1.247,0.277,0.07
47,-0.851,0.401,0.089,-0.185,0.884
48,-0.241,-1.15,-1.084,-0.284,0.254
49,0.912,-0.526,-0.816,0.776,0.068
50,0.214,1.174,-2.628,1.183,-0.133
51,0.342,-0.03,0.367,-1.487,-0.282
52,-1.478,0.132,1.384,1.443,0.845
53,-0.903,0.833,-0.539,2.994,-0.492
54,-0.432,0.977,0.846,1.042,1.553
55,-0.064,0.1,-0.478,1.305,1.25
56,-1.18,0.614,-0.652,1.977,-0.403
57,-0.746,0.654,-0.22,-1.96,0.004
58,1.342,-0.833,-0.369,-0.119,1.237
59,0.605,1.977,1.405,-0.723,-1.497
60,0.17,-0.334,-0.553,-1.89,1.145
61,1.144,-2.008,-0.993,0.17,0.819
62,-0.209,0.705,-0.34,0.749,1.559
63,-1.87,1.136,-1.037,0.365,-0.617
64,-0.192,-0.594,1.486,0.128,0.15
65,-0.64,-1.188,-0.901,-1.381,0.031
66,0.287,-0.21,-0.312,-1.09,-0.699
67,0.778,-0.192,-0.334,0.381,0.788
68,0.13,-0.366,0.311,-0.524,0.411
69,-1.178,-0.169,-1.462,0.467,1.116
70,-0.871,1.43,0.628,0.618,0.503
71,-0.422,-0.378,1.13,1.137,-0.865
72,-1.221,-1.291,0.799,2.511,-0.824
73,-1.016,1.441,-1.701,-2.049,1.095
74,1.07,0.624,-0.242,-0.511,0.861
75,-0.601,-0.131,0.232,-0.93,-0.119
76,-1.128,1.94,0.578,-1.098,-2.115
77,0.016,0.598,1.819,-0.386,0.284
78,0.349,-0.249,-0.62,1.17,0.595
79,-0.113,-1.261,0.075,-0.031,-1.681
80,1.909,-0.267,0.471,0.38,1.949
81,-0.953,-0.679,1.103,2.815,-0.989
82,-0.241,-0.246,-1.279,0.248,-0.862
83,-0.426,-0.516,3.15,1.899,-1.303
84,-0.99,-1.545,-0.364,1.095,-1.8
85,-0.709,-0.287,1.09,-1.073,-0.763
86,0.201,-0.492,1.899,2.796,-1.094
87,-0.49,1.123,-0.146,0.101,-0.936
88,-0.857,0.549,0.581,0.49,1.335
89,-0.336,-0.22,1.114,-0.182,1.486
90,-0.468,0.49,0.449,-1.661,0.616
91,-0.232,0.498,-2.171,2.548,1.252
92,-0.453,1.318,1.428,0.453,0.049
93,-0.558,0.622,-0.179,2.173,0.463
94,-0.678,2.232,1.606,0.201,-0.812
95,0.72,-1.589,1.23,0.004,0.277
96,-1.173,1.545,-0.933,1.146,-1.58
97,2.078,-0.873,-0.345,0.596,0.744
98,0.389,0.299,-0.606,-0.397,1.151
99,-0.578,0.29,-1.159,-0.23,0.264
100,-1.206,-0.082,0.803,0.374,1.02
101,-0.458,0.296,1.301,-0.022,-1.67
102,1.173,0.818,-1.323,0.264,0.762
103,0.581,-0.648,0.504,1.033,-0.561
104,0.639,0.432,-0.235,-0.937,0.766
105,2.531,-0.887,1.278,-0.553,0.247
106,0.432,1.065,-1.654,1.43,0.731
107,0.223,-0.479,-1.222,0.067,-1.342
108,-0.812,2.223,0.577,0.145,-1.599
109,-0.188,0.289,-1.016,1.339,0.119
110,-0.008,-0.843,0.165,-0.521,-0.387
111,-2.028,0.671,0.204,-0.315,0.661
112,3.31,0.981,-0.358,0.609,0.964
113,0.122,2.402,-1.804,-1.61,0.792
114,-1.119,-0.435,-1.327,1.253,1.27
115,1.008,-0.733,0.26,-0.36,1.28
116,-0.214,-2.019,0.946,-1.421,1.144
117,-0.2,-1.21,0.294,-1.64,0.423
118,0.418,-0.295,-0.27,0.213,2.528
119,-0.039,-1.095,0.544,1.384,-0.357
120,0.525,-1.238,1.109,0.536,-1.187
121,-1.008,0.518,0.901,1.14,-0.727
122,-0.257,-0.226,0.661,0.153,0.579
123,-1.448,0.216,-0.271,1.441,1.106
124,-0.015,0.437,0.713,-0.599,-0.222
125,-1.504,-0.309,-0.277,-0.873,-0.162
126,0.138,-0.65,-0.655,0.619,-0.04
127,0.189,-0.137,-0.732,0.267,1.558
128,0.466,0.051,-0.74,1.03,-1.255
129,-1.352,1.373,0.747,0.983,-0.677
130,-0.853,0.346,0.301,-0.036,0.27
131,-0.372,-1.246,-1.061,0.07,-0.918
132,-0.859,-0.215,-0.333,1.274,-0.403
133,1.146,0.429,-1.767,-0.651,0.835
134,-2.403,-1.482,1.344,0.474,-0.318
135,-0.623,-1.179,1.522,1.445,0.278
136,0.49,0.331,1.564,1.552,-0.927
137,0.237,-0.178,-3.203,0.993,2.598
138,0.86,-0.546,-0.174,1.045,-2.003
139,1.692,-0.41,0.695,-1.204,1.653
140,0.038,-0.856,-0.346,-0.048,-0.07
141,1.473,-0.424,1.602,-1.377,1.633
142,-0.335,-0.482,1.451,-1.3,-0.61
143,0.376,-0.476,0.474,-2.144,2.141
144,-1.662,-0.184,-0.264,0.662,1.105
145,0.78,-1.073,0.72,-0.158,-1.471
146,-0.645,-0.365,0.033,-0.498,0.957
147,-0.611,0.309,0.834,0.145,-0.408
148,0.476,-0.923,1.001,0.176,1.906
149,-0.782,-1.448,-0.506,-0.727,-2.05
150,-0.424,-0.574,-0.173,-0.092,-2.211
151,0.428,-0.178,-1.024,-0.233,-1.786
152,1.306,-0.242,-1.017,1.459,-0.132
153,1.0,-1.275,0.643,-2.614,-0.555
154,-0.852,0.877,-0.618,-1.224,-1.536
155,0.238,0.305,-2.212,-1.187,0.475
156,0.154,0.377,-0.939,-0.092,0.543
157,-0.126,-1.125,1.619,-0.655,0.181
158,-0.228,0.495,0.371,-0.155,-1.728
159,-1.505,1.203,0.485,0.26,1.424
160,0.84,-1.153,1.789,-0.647,0.348
161,0.899,-1.386,-1.057,-2.37,-0.63
162,0.293,0.548,0.711,0.265,-0.481
163,-1.152,-0.85,0.139,0.175,-0.05
164,0.889,0.495,0.028,-0.12,0.644
165,-0.437,-1.159,-0.033,-0.48,0.367
166,0.271,-2.093,-1.576,-0.877,-0.239
167,-0.684,-1.307,-0.148,-0.695,1.74
168,0.601,1.753,0.134,0.315,-0.399
169,-1.234,-0.601,1.559,-0.408,-0.498
170,0.82,0.323,-0.108,0.145,1.7
171,-0.977,0.32,0.035,-0.405,-1.204
172,-0.713,-0.157,-0.427,0.089,0.37
173,0.961,-0.591,0.026,-1.515,1.056
174,1.171,1.233,0.01,0.041,-0.662
175,0.748,-0.827,-0.151,0.202,1.602
176,-1.952,-0.712,0.631,-2.513,-2.285
177,0.509,-0.683,0.257,-0.099,-0.093
178,0.005,1.443,-1.413,-0.009,-1.439
179,0.318,0.614,-0.894,0.228,0.131
180,1.234,-1.347,1.523,0.614,0.288
181,-0.554,1.965,-0.472,-0.071,-0.22
182,1.958,-0.086,2.176,-1.106,0.601
183,-1.132,1.428,-1.363,-0.334,-0.552
184,-0.512,0.447,-0.217,0.245,0.281
185,-1.048,-1.6,0.93,1.103,-0.061
186,0.177,-0.249,0.198,-2.122,1.219
187,1.27,-0.601,3.43,-2.092,0.11
188,0.393,-0.797,0.409,0.1,0.558
189,0.541,0.11,0.102,-1.168,1.02
190,1.214,-1.721,-1.995,0.771,0.448
191,-1.34,1.3,0.562,1.624,-0.426
192,-0.859,-1.147,-0.534,-0.161,-0.827
193,-0.098,-1.247,-2.085,-0.459,0.234
194,-0.802,-0.985,-0.938,1.015,0.098
195,0.835,0.211,-0.545,-0.478,-0.186
196,-1.927,0.696,0.822,0.245,1.146
197,-0.844,0.721,-0.115,1.265,1.837
198,0.366,-0.969,1.389,-1.6,1.448
199,1.245,-1.15,1.26,0.776,0.232
200,-0.169,2.508,-0.112,-1.126,-1.125
201,-0.647,-1.22,0.92,0.452,-0.17
202,1.625,-1.497,0.281,-1.029,1.231
203,1.524,0.56,0.451,-0.434,0.397
204,-1.683,-0.919,-0.571,-0.967,0.651
205,-0.534,-2.145,0.926,0.059,0.218
206,0.241,-0.793,-0.285,0.634,-1.274
207,-0.53,-0.279,-0.86,-1.113,-0.286
208,-0.171,0.497,0.002,1.348,-0.743
209,-0.408,-0.727,2.038,-0.582,-0.034
210,-0.342,0.409,-2.311,-0.777,1.927
211,-0.095,-0.92,-0.674,1.665,-1.467
212,1.882,0.44,-0.683,-0.475,-0.013
213,-0.633,1.573,-1.113,1.737,-0.778
214,0.047,-0.53,1.272,-1.359,0.154
215,0.707,-1.435,-0.354,-0.198,-1.175
216,-0.018,0.287,0.626,0.722,-0.382
217,2.365,-1.236,0.848,-1.186,-0.988
218,0.845,0.715,-0.653,1.625,-0.35
219,1.108,-0.069,-1.055,1.704,2.24
220,0.601,-0.683,2.183,1.535,0.889
221,0.538,1.073,-0.901,-0.508,-0.547
222,-0.504,0.848,-0.425,-0.149,1.199
223,0.88,0.697,1.996,-0.429,0.069
224,-0.539,0.268,1.249,1.569,0.163
