data,at1,at2,at3,at4,at5
0,-1.061,1.959,-0.529,-0.72,-0.177
1,0.29,1.068,-0.729,-0.631,-1.339
2,-0.264,-1.665,0.669,-0.071,1.592
3,-3.024,0.764,-0.805,-0.357,0.019
4,0.555,0.74,-0.916,0.45,-0.261
5,-0.781,-0.874,-0.592,-1.126,1.687
6,0.009,1.418,-2.063,-1.606,-0.78
7,-0.035,-1.099,-0.488,-1.7,-0.22
8,1.469,-0.791,-1.066,1.878,0.018
9,-1.176,0.991,1.359,0.029,0.406
10,-0.737,1.253,-0.242,0.699,-0.079
11,0.686,-0.578,-0.376,2.349,0.208
12,-0.781,1.296,-2.956,0.881,-0.436
13,-0.694,-1.313,0.903,0.054,0.99
14,0.643,-0.44,0.671,-0.175,-0.681
15,-0.082,1.696,-1.39,1.603,-0.377
16,-0.211,0.759,-1.136,-0.77,-0.697
17,-1.826,2.126,-0.635,-1.522,-0.64
18,-0.771,-2.789,0.991,0.821,-0.626
19,1.832,-0.552,0.245,-0.066,-1.207
20,1.182,-2.369,0.86,0.751,-0.122
21,1.701,-1.55,-0.774,1.06,1.451
22,0.019,-0.708,0.461,-0.557,-0.932
23,-1.558,-1.126,-0.815,0.592,-0.259
24,-0.446,0.554,0.196,0.381,0.417
25,-1.655,1.321,-0.161,-0.307,-0.534
26,-1.739,1.809,-0.175,0.939,0.052
27,0.638,1.28,0.013,-0.953,0.338
28,-1.96,-1.76,0.764,1.222,1.656
29,-1.17,-0.237,0.555,0.105,-0.562
30,0.956,1.853,1.225,-0.852,1.259
31,1.27,0.181,0.075,0.915,0.476
32,1.285,-0.974,0.152,-0.122,-1.13
33,1.182,0.71,-0.33,-0.935,-0.46
34,-0.03,-0.489,0.227,-1.255,0.781
35,-1.257,-0.087,0.814,-0.731,-1.126
36,-1.612,0.74,0.492,0.209,-1.103
37,0.14,-2.09,-0.287,-1.603,0.179
38,0.434,1.353,0.272,0.997,-1.139
39,1.347,-0.395,-0.184,-0.032,-0.829
40,0.652,1.419,0.587,0.605,0.267
41,-1.349,0.635,0.003,1.314,0.751
42,0.183,0.188,-0.653,-0.713,0.36
43,-0.36,-0.201,-0.54,-0.604,-1.089
44,-0.874,-1.638,0.869,1.325,-0.639
45,-0.69,-0.607,0.42,1.743,0.636
46,0.828,2.113,-1.001,-0.091,-2.393
47,0.107,-2.207,-0.441,-1.487,-0.741
48,-0.435,0.871,1.984,-0.649,-0.047
49,0.856,-1.18,0.84,-0.847,-0.322
50,2.226,-2.035,1.122,-0.525,0.775
51,0.199,2.61,-0.563,0.028,-0.9
52,-0.161,-0.489,1.058,-1.063,-0.172
53,0.472,-1.137,1.032,1.162,0.346
54,1.898,-1.047,0.439,-0.148,-0.121
55,1.156,2.653,0.781,0.907,-0.975
56,-0.925,0.628,-1.072,-0.595,0.16
57,-0.457,0.704,-1.271,-0.462,-0.969
58,1.521,-0.177,-0.497,0.365,1.775
59,-0.423,-0.415,-0.093,0.493,-0.421
60,2.033,-0.799,1.274,0.875,-1.118
61,-0.015,0.173,-2.601,0.832,-1.345
62,-0.942,-1.487,-0.533,-0.294,-0.059
63,-0.973,-0.207,-0.363,0.763,-1.382
64,-0.083,-0.365,0.457,0.49,0.763
65,-1.53,-1.621,1.148,-0.497,-1.786
66,-0.155,-0.508,1.099,-0.319,-1.608
67,0.12,0.153,0.747,0.699,2.194
68,0.27,1.722,1.07,-0.198,2.194
69,-0.893,0.478,0.399,0.733,-2.255
70,-1.732,0.867,-1.433,-0.828,-1.948
71,0.061,-0.962,1.036,-0.164,-0.415
72,0.142,-0.465,0.816,0.778,0.435
73,0.408,-1.435,-0.522,1.96,-1.499
74,-0.775,-1.159,0.382,-0.629,-0.58
75,-1.403,-0.45,0.218,-1.123,-0.094
76,1.401,2.118,-0.222,0.518,1.762
77,0.685,0.565,1.751,0.276,1.672
78,-0.85,1.064,1.154,-1.99,-2.015
79,1.315,0.16,-0.274,0.648,-0.691
80,0.39,-0.081,1.029,0.438,0.419
81,0.55,0.726,-0.926,0.746,0.344
82,-0.358,-1.001,-0.506,1.04,-0.96
83,-1.408,-0.412,-0.145,-0.39,-0.547
84,-0.878,1.36,-0.722,-0.739,0.27
85,-1.523,0.385,1.244,0.472,0.154
86,1.821,-1.097,-1.068,-0.85,-0.067
87,0.403,-0.968,-0.736,3.333,-1.573
88,0.487,-1.702,-0.733,0.07,0.807
89,0.46,0.059,-0.74,0.097,1.822
90,1.026,-1.222,-1.416,1.483,0.983
91,0.766,0.337,1.355,-0.328,-0.416
92,1.305,-1.556,0.323,1.283,-0.137
93,0.409,-0.463,-1.814,0.542,-0.206
94,1.016,-1.491,-1.382,-0.105,-1.468
95,-1.582,-2.775,-1.221,0.017,1.165
96,-0.329,-1.895,0.697,-0.649,-0.38
97,-0.258,-0.936,0.724,0.773,-1.264
98,0.123,-0.347,1.515,-0.637,0.397
99,-0.397,1.1,-2.087,0.536,-0.479
100,-2.132,-0.901,0.089,-0.547,0.073
101,0.213,0.105,-2.204,-0.811,0.416
102,0.618,0.89,0.606,-0.321,-0.256
103,-0.101,0.222,-1.358,0.012,0.586
104,0.795,-1.152,-1.44,0.122,-1.4
105,0.046,0.332,0.304,-0.573,0.674
106,-0.353,0.25,-0.768,1.507,-1.65
107,-0.226,0.597,0.1,-0.095,-0.172
108,-0.119,1.024,0.804,1.0,0.631
109,1.049,0.478,0.096,-0.114,0.44
110,-0.538,-0.864,-1.216,1.505,-0.051
111,0.628,-0.919,1.551,-0.603,0.744
112,-1.79,-1.739,0.76,-0.821,-0.295
113,-1.293,0.601,0.157,-1.752,1.742
114,-0.15,-0.062,-0.572,2.005,0.063
115,-1.625,-1.56,1.415,0.276,0.999
116,-0.993,-1.112,-1.439,1.335,1.132
117,-0.312,1.294,-0.184,0.646,0.658
118,1.842,0.86,-0.921,0.267,-1.724
119,-0.901,0.359,-0.726,0.734,-0.02
120,0.692,1.477,0.114,-1.023,-1.186
121,0.297,0.296,0.019,2.009,0.792
122,0.018,0.145,0.872,-0.668,1.434
123,1.759,-0.616,-0.02,0.921,0.02
124,1.327,-0.253,-0.255,-0.022,-1.241
125,0.126,-0.331,-1.816,0.066,2.24
126,-0.471,-1.464,1.341,-1.621,-1.186
127,-0.08,-0.147,1.331,-0.115,-0.892
128,0.257,0.932,0.35,0.017,-0.089
129,1.902,-0.064,-0.024,-0.485,-1.338
130,0.637,0.451,0.723,-0.194,0.19
131,-0.368,0.339,-0.532,0.947,-0.703
132,-0.76,0.295,2.616,-0.415,-0.119
133,-0.325,-1.565,0.083,-0.859,0.312
134,-0.934,0.598,0.473,0.386,0.58
135,0.324,-0.924,-0.048,1.018,-0.926
136,-0.8,0.5,-1.364,0.875,-0.663
137,-0.051,1.058,-0.77,-0.708,-0.225
138,0.843,-0.804,-0.928,-1.255,-0.523
139,-0.426,0.605,-0.727,-0.169,1.396
140,-0.178,1.162,-0.238,0.446,1.081
141,0.638,0.003,1.914,1.355,0.04
142,1.603,0.883,-1.113,-1.105,-0.513
143,1.918,1.399,-0.218,1.018,-0.432
144,-0.129,-0.422,-0.956,0.449,-0.489
145,-0.518,-0.868,0.218,1.727,-0.018
146,0.645,-1.994,-0.959,-1.188,0.36
147,-1.215,-0.39,-1.431,0.622,-0.321
148,-0.057,1.399,-1.092,-0.951,2.069
149,-0.007,1.57,-0.666,-1.038,0.253
150,0.479,1.002,-0.646,0.062,-0.915
151,0.12,-0.485,-0.735,-0.927,1.128
152,1.047,0.596,0.093,-0.453,0.89
153,1.012,-0.651,-1.473,0.218,-0.473
154,-0.693,0.561,0.496,-1.259,-1.175
155,0.063,0.798,-0.763,-0.146,0.813
156,-0.058,0.457,0.546,-1.466,-0.915
157,1.153,-1.815,-1.705,-0.117,-0.296
158,0.038,1.221,1.076,-0.149,-0.911
159,-0.654,0.118,-0.127,1.76,1.061
160,-0.855,1.818,-0.348,-1.894,2.207
161,0.323,-1.668,1.469,-1.2,0.558
162,-0.967,0.402,0.513,-1.124,-1.227
163,-0.876,0.139,0.292,1.383,-0.723
164,0.61,1.501,0.893,1.378,-0.22
165,-0.566,-0.513,1.703,0.013,0.146
166,1.189,-0.626,-0.485,1.645,-1.121
167,-1.936,1.449,2.053,1.817,-1.779
168,-1.153,1.389,0.991,-0.385,2.465
169,0.103,0.838,-1.54,0.575,-0.505
170,0.607,-0.731,0.391,1.644,-0.85
171,0.32,-1.097,0.126,0.625,0.526
172,-0.071,-0.087,-2.437,-0.426,-0.861
173,0.058,0.02,-1.34,0.76,-0.163
174,-1.912,-0.036,-1.311,0.292,-1.459
175,1.203,0.1,-1.336,-0.558,-0.459
176,-0.326,0.144,-1.435,-1.235,0.214
177,0.365,0.779,-1.171,0.844,-0.117
178,-1.212,-1.873,-0.513,-0.885,-0.49
179,0.52,-1.178,-0.602,0.039,-0.976
180,0.619,0.777,-1.603,-0.273,-0.188
181,-1.196,0.228,0.393,-0.479,-1.081
182,-0.956,1.127,-1.062,0.513,0.782
183,-0.826,-0.534,1.072,-0.247,2.592
184,1.036,0.965,1.997,-0.353,-0.284
185,-0.622,0.125,0.071,0.562,0.588
186,1.455,-0.07,1.299,-0.726,-0.174
187,1.234,0.206,0.058,0.68,0.601
188,-1.943,0.431,-0.025,-0.307,1.23
189,1.05,-1.305,1.092,-0.753,0.499
190,-0.302,0.364,0.525,1.186,-0.625
191,0.565,0.952,1.186,1.327,-1.041
192,-1.716,-0.903,2.107,0.983,-0.844
193,-0.118,-0.788,-0.946,-1.04,-0.03
194,-0.531,-0.218,-1.098,0.071,0.728
195,0.263,-0.121,1.111,0.081,0.265
196,0.609,-1.039,0.764,2.313,-1.093
197,-0.574,0.835,0.093,1.087,1.321
198,1.915,-0.83,-0.423,-1.245,0.705
199,0.293,-0.194,0.446,1.806,-0.397
200,1.584,-1.255,1.727,0.235,-0.396
201,1.066,0.386,1.147,-1.133,1.272
202,0.829,-0.007,0.265,0.558,0.879
203,0.187,0.137,-0.065,0.275,-0.096
204,-0.947,-1.943,0.786,-0.197,-0.648
205,-0.487,-1.185,-0.904,-0.642,0.961
206,-0.085,-0.032,0.851,-0.385,-1.677
207,1.474,-0.745,1.538,0.209,0.655
208,-0.651,-1.562,-0.392,-1.809,-0.2
209,1.122,0.738,-0.321,-0.691,-0.954
210,-0.366,0.86,-2.401,1.217,0.561
211,0.098,0.608,1.903,0.193,0.66
212,1.05,-1.131,-0.458,0.18,-1.578
213,-1.112,1.096,-0.75,0.735,1.421
214,0.204,-0.958,1.496,0.999,1.706
215,0.609,0.136,-0.706,0.75,0.393
216,1.09,0.323,1.041,-0.058,-0.058
217,-0.4,0.051,-0.496,0.633,-2.244
218,-0.605,-0.845,0.898,1.269,-0.078
219,-0.834,-0.195,1.529,0.395,0.476
220,-0.522,-1.761,1.165,0.34,0.773
221,-0.485,-0.767,0.199,-0.337,-1.344
222,-0.048,-0.694,0.851,-1.881,1.269
223,-0.174,1.992,-1.113,0.511,-1.645
224,1.473,-0.698,0.573,-0.413,1.346
225,0.599,-0.668,-0.541,2.094,-1.389
226,0.573,1.732,-0.18,0.242,0.311
227,-0.109,0.809,0.101,1.904,-1.077
228,-0.347,-0.125,0.941,-1.192,-0.118
229,0.035,1.347,-0.152,0.538,1.142
230,0.88,1.613,0.034,-0.281,2.263
231,0.817,0.006,-1.725,-1.808,-0.863
232,-0.737,-0.536,-1.015,0.501,1.379
233,-0.049,0.192,-0.783,2.383,-1.419
234,1.58,-0.538,1.431,-0.062,-1.739
235,-1.038,-0.338,0.073,-0.099,-0.519
236,1.255,0.813,-0.15,0.465,0.362
237,-0.578,0.069,0.24,0.866,0.855
238,-0.36,-1.059,-0.025,0.043,0.439
239,1.502,0.29,-0.602,0.036,-1.652
240,0.134,0.636,0.357,-0.331,-0.635
241,-0.383,0.841,-1.116,1.27,-1.228
242,-1.305,0.517,-0.869,-0.99,1.347
243,0.16,0.193,1.018,1.126,0.491
244,-0.655,0.989,-0.39,-0.866,-0.709
245,-0.574,1.996,-1.49,0.239,0.883
246,0.259,0.872,-0.537,-1.391,-0.598
247,1.074,0.076,-0.866,0.693,0.909
248,-0.262,-0.396,0.711,-0.137,0.473
249,0.946,-1.879,-0.077,1.8,0.76
250,0.828,-0.083,-0.027,2.285,-0.778
251,-1.166,-0.341,-0.379,0.702,-1.003
252,-1.303,-0.061,-0.478,0.004,-0.659
253,-1.902,1.162,0.49,0.553,0.159
