data,at1,at2,at3,at4,at5
0,-1.293,1.304,-0.301,0.29,-0.738
1,-0.638,-0.789,-1.411,-0.807,-0.79
2,-0.652,-0.209,-1.564,0.41,-0.312
3,-0.533,-0.326,0.415,0.371,-0.879
4,-0.006,-1.858,-0.316,1.114,-0.614
5,1.242,-0.624,1.035,-0.185,-0.826
6,-0.411,0.372,0.481,0.894,-0.813
7,1.063,-0.207,-1.116,0.294,-0.197
8,-1.264,-0.415,0.181,-1.395,0.264
9,-0.868,0.094,-0.715,-0.197,1.411
10,0.283,-1.792,-0.483,1.72,0.967
11,-0.678,-0.551,0.559,0.398,2.23
12,-0.03,-0.792,0.485,-2.767,-0.472
13,-1.389,0.144,-0.069,-0.798,-0.499
14,0.313,-0.834,-1.272,0.919,-0.01
15,0.267,0.677,0.063,-1.774,-1.314
16,0.64,0.733,0.89,0.259,0.202
17,0.378,0.364,-1.035,1.419,0.838
18,0.39,0.796,0.889,1.006,-0.951
19,0.504,-0.951,0.543,0.256,-0.057
20,0.949,0.385,-0.188,0.25,1.085
21,1.204,1.402,1.081,-1.42,-0.431
22,-1.777,-1.331,1.211,-0.031,-0.843
23,-0.249,-1.458,0.486,-0.741,-0.528
24,0.834,-1.951,-0.645,-1.014,1.838
25,-1.114,0.102,-0.845,-0.617,-2.089
26,-0.272,-0.79,1.679,0.339,0.047
27,1.745,-0.444,-1.153,0.216,0.087
28,0.818,2.057,-1.869,0.004,0.115
29,0.801,1.053,0.042,1.306,-0.014
30,-1.013,0.005,1.942,-0.479,0.993
31,0.394,-1.369,-0.896,-1.711,1.287
32,0.715,0.866,-0.978,0.02,0.0
33,-0.068,-1.747,0.687,0.718,0.177
34,0.956,0.161,0.034,0.85,-1.044
35,-0.492,0.558,-0.398,0.641,-0.073
36,0.68,-0.309,-1.243,1.977,0.57
37,0.748,-0.614,0.138,0.072,1.924
38,0.499,1.096,0.028,-0.784,1.347
39,1.221,0.308,0.296,-1.495,0.258
40,-0.18,0.311,0.311,-0.086,-0.35
41,-0.34,-0.911,2.245,-1.986,-0.553
42,-0.642,-0.325,0.55,-1.228,-0.891
43,-1.333,2.235,-0.24,-1.064,0.181
44,0.389,0.749,-0.38,-1.565,0.209
45,1.451,-1.555,-0.814,-1.061,1.745
46,0.439,1.351,0.119,-1.602,0.21
47,1.913,0.331,0.685,1.299,-0.035
48,-1.439,0.611,0.632,0.722,0.102
49,0.065,2.088,0.724,0.458,1.253
50,-0.286,1.785,1.169,1.451,-1.044
51,1.07,0.981,0.224,2.466,-1.326
52,-0.6,-0.035,-0.32,0.732,1.617
53,-0.064,0.683,-0.674,-0.16,0.504
54,-0.466,-1.024,-1.127,0.769,-0.977
55,-0.514,0.981,-0.558,0.257,-1.513
56,-0.147,-0.3,0.64,-1.636,1.941
57,2.051,-0.205,1.132,0.26,0.692
58,0.083,-1.079,-0.572,0.443,0.154
59,0.217,-0.684,0.488,-1.322,-0.156
60,-1.075,-0.111,-1.128,0.349,0.001
61,-0.199,-0.527,0.222,0.805,0.031
62,-1.575,1.577,0.7,1.392,-1.903
63,0.005,-0.847,1.128,0.639,0.372
64,-0.117,0.057,1.205,-0.226,1.161
65,-0.329,1.667,0.584,0.608,-0.066
66,0.07,-0.733,-1.265,0.865,-0.523
67,-0.098,0.295,-1.026,-0.596,0.862
68,-0.023,-0.067,0.25,0.171,0.228
69,0.772,-1.331,-0.036,-1.497,1.296
70,-1.214,-0.467,0.928,-1.272,-0.864
71,0.131,0.407,-0.569,-0.324,-1.441
72,-0.57,0.227,-0.648,0.926,0.052
73,0.744,-1.151,0.071,-0.37,-0.272
74,0.182,-0.39,-0.605,-0.771,0.864
75,0.909,-1.048,-1.115,-0.219,0.732
76,-1.217,1.392,2.017,0.949,0.693
77,-0.668,-0.554,0.694,1.711,0.495
78,-0.322,0.027,-0.283,-0.531,1.021
79,-0.373,0.329,-0.353,-0.294,-1.215
80,-0.18,-0.571,0.278,-0.85,-0.366
81,0.681,1.437,-1.027,0.178,-0.016
82,0.307,-1.752,-1.334,-0.569,-0.179
83,0.75,2.148,0.477,0.725,-0.303
84,0.836,0.305,-0.972,0.816,0.585
85,-1.235,-0.393,0.651,0.112,1.463
86,1.134,0.341,-0.404,-0.89,-0.51
87,0.83,-1.162,-0.153,-0.817,-0.978
88,-1.168,0.219,-1.984,-0.022,1.086
89,-0.238,0.468,1.281,0.619,-1.753
90,-2.281,0.556,-0.299,-1.637,0.104
91,-0.604,-2.329,-0.551,0.536,1.066
92,-0.175,0.468,-0.705,0.074,0.779
93,-0.541,-0.466,-0.648,0.821,0.415
94,0.007,0.132,0.203,-0.535,1.018
95,0.004,-1.23,0.314,-0.148,0.642
96,-0.873,0.76,1.417,-1.108,-1.936
97,1.419,-2.387,0.642,-1.224,-0.329
98,-1.108,-0.515,0.735,-0.277,0.841
99,-1.824,-0.039,0.195,-0.143,0.242
