data,at1,at2,at3,at4,at5
0,0.496,-0.936,1.557,0.213,0.119
1,0.562,0.007,0.434,0.818,-0.424
2,0.691,0.931,1.005,-0.502,0.303
3,-1.034,2.016,-0.684,-1.273,-0.965
4,0.63,0.887,-1.66,0.851,0.437
5,-0.317,0.218,0.372,0.468,1.133
6,1.298,-1.527,0.869,1.293,0.306
7,0.978,1.172,0.504,-1.114,-2.043
8,0.542,0.252,0.016,0.963,0.389
9,-1.328,-0.628,0.175,3.013,0.618
10,0.958,-0.297,-0.326,1.015,0.995
11,-1.047,-0.595,0.137,0.254,0.378
12,-0.228,0.349,-0.189,0.927,-1.079
13,0.424,0.354,-0.307,-2.046,1.105
14,0.238,-0.047,0.195,0.207,-1.374
15,0.721,-1.322,0.253,-1.375,-1.328
16,-1.436,1.418,-1.523,-2.231,-0.152
17,1.477,-0.95,-1.043,-1.42,-0.617
18,-1.131,0.604,1.177,0.501,-0.329
19,-2.165,-0.45,1.402,-0.19,0.618
20,-0.96,-0.397,-0.112,1.735,0.428
21,0.372,-0.71,-0.074,0.124,1.01
22,-1.641,0.543,1.52,0.617,-0.337
23,0.439,0.039,0.211,-1.084,1.004
24,1.486,-0.097,-0.955,-1.217,1.176
25,-0.712,0.355,1.198,-0.056,-0.389
26,-0.339,0.378,-2.763,1.017,-1.216
27,2.795,1.766,2.664,0.179,1.247
28,-0.272,-0.517,1.331,-0.614,-0.88
29,-0.178,1.212,-0.17,1.317,-0.343
30,1.127,0.954,-0.615,1.097,-0.146
31,-1.231,0.555,0.507,-0.128,-2.4
32,1.096,0.021,0.691,-1.832,0.246
33,-1.551,-0.525,-1.771,0.473,-2.278
34,-0.618,0.247,-1.006,0.653,-0.04
35,-0.46,-1.529,-1.399,0.437,0.57
36,-0.48,2.479,0.106,0.024,-0.374
37,-0.204,1.339,-0.631,-0.765,0.711
38,-1.062,0.777,0.815,-0.922,-1.025
39,2.086,2.195,-0.207,-3.277,1.091
40,1.183,0.864,0.91,-0.173,-1.245
41,-0.257,-1.981,-2.185,-0.634,0.985
42,1.118,-1.207,0.802,-0.061,-0.465
43,-0.919,1.161,-0.247,3.071,0.449
44,-0.445,0.888,1.238,0.173,-0.367
45,0.845,-1.792,-0.407,-1.293,-0.269
46,0.899,-0.259,-0.896,-0.059,-1.17
47,-0.326,0.145,0.672,1.584,-1.402
48,-0.179,0.593,-0.102,0.963,-0.708
49,1.555,-0.911,0.053,0.002,0.722
50,-0.259,0.584,-0.229,0.941,0.544
51,-0.01,0.244,1.391,0.204,1.608
52,-0.313,1.562,1.689,-0.928,0.437
53,0.828,0.65,0.443,0.945,-1.6
54,-0.088,-0.405,-0.526,-1.344,0.471
55,0.072,0.305,1.75,-0.899,-1.622
56,-0.802,0.235,0.166,-1.584,1.04
57,-1.278,-0.474,0.108,-0.119,-0.038
58,-1.517,0.386,-0.016,0.136,0.977
59,0.655,0.585,-0.856,1.352,-0.818
60,0.175,0.55,0.982,-0.415,-0.697
61,0.051,-1.326,0.802,0.339,1.523
62,-0.341,-2.461,0.09,-0.344,-2.912
63,0.191,-0.63,-1.409,-0.353,-0.488
64,-0.777,0.794,0.01,-1.861,0.356
65,-0.074,-0.386,-0.17,1.528,2.481
66,0.215,-1.754,0.436,-0.207,0.07
67,0.883,-0.149,0.538,-0.02,0.784
68,-0.013,-0.275,0.57,0.919,0.401
69,1.246,-0.268,1.06,-2.232,0.589
70,-0.504,0.703,0.007,-1.764,0.44
71,-0.129,-0.313,0.446,0.008,0.793
72,-0.412,0.68,-0.447,0.074,-0.37
73,-0.107,-1.46,2.047,-1.007,2.056
74,-0.218,1.626,-2.029,0.799,-1.057
75,1.125,-0.009,-2.162,0.796,-0.363
76,1.419,-1.158,-1.538,1.647,-1.19
77,-1.065,-1.915,0.667,-0.736,-0.413
78,-0.909,-0.571,1.357,0.666,0.169
79,1.053,0.007,1.228,0.845,0.603
80,-0.755,-0.564,-0.111,-0.046,0.534
81,0.13,-1.626,-0.328,0.289,2.206
82,0.571,0.053,1.348,1.554,-2.307
83,-1.594,-0.903,1.473,-0.859,0.911
84,-0.591,-0.56,0.129,-0.441,-1.308
85,-0.765,0.406,-0.474,0.159,-0.98
86,0.991,-0.143,0.039,-1.497,-0.104
87,1.855,1.397,0.529,-1.904,1.259
88,0.789,-1.152,-1.082,-1.556,0.329
89,0.192,-2.493,0.142,-1.476,0.342
90,0.83,0.123,0.77,0.015,-0.827
91,-0.59,-0.418,0.524,-1.342,0.743
92,-0.673,0.797,1.928,-0.499,-0.185
93,-1.64,-0.035,-0.264,0.247,-0.422
94,0.028,0.593,-0.523,0.537,0.792
95,-0.701,0.365,1.086,-0.145,-0.628
96,0.42,0.602,0.994,-0.475,-0.491
97,-1.836,-0.654,0.747,0.548,0.559
98,-0.099,0.214,0.677,0.233,0.43
99,1.003,0.176,-0.058,1.495,-0.777
