data,at1,at2,at3,at4,at5
0,0.34,-0.104,0.944,0.349,0.405
1,-0.148,0.471,-0.541,-0.018,-0.4
2,-0.54,0.406,-1.073,-0.699,0.006
3,1.995,0.247,0.442,0.323,1.384
4,0.15,1.839,-0.885,-0.147,-1.172
5,-0.767,0.154,0.903,-0.124,0.61
6,0.799,-0.949,1.201,0.724,-0.718
7,1.173,0.017,-1.672,-0.219,0.182
8,0.602,1.496,0.263,0.946,-0.587
9,1.054,-0.285,-0.651,-1.456,-0.842
10,-0.052,1.203,0.961,1.889,-0.173
11,-0.352,1.112,-0.231,-0.188,1.731
12,1.457,-0.754,1.428,-0.494,1.369
13,-1.012,-0.866,-0.006,2.118,-0.507
14,-1.053,0.999,0.069,2.301,0.268
15,-1.791,0.711,0.284,1.161,0.185
16,0.418,1.327,0.856,-0.253,0.978
17,-0.782,1.364,-0.523,0.129,-1.365
18,-1.075,1.252,-1.111,-0.175,-0.332
19,-1.631,0.556,0.399,-0.268,0.123
20,0.618,0.367,-1.312,0.025,1.385
21,-0.159,-0.845,-1.183,1.284,-2.147
22,0.306,-2.212,-1.333,0.328,-0.019
23,0.235,0.247,0.327,0.293,-0.825
24,-0.137,1.67,0.305,-1.098,-0.924
25,0.131,0.025,0.696,-1.391,1.689
26,0.822,0.424,0.48,-1.88,0.233
27,0.0,0.732,0.888,0.295,0.703
28,0.898,-2.155,-0.461,-1.513,-0.545
29,0.161,1.428,-0.946,-0.101,0.303
30,0.708,-1.54,-0.018,-0.29,0.344
31,0.366,-0.677,1.01,-0.267,-1.269
32,-1.152,-0.943,-0.203,1.767,-0.849
33,1.002,1.522,-0.939,-1.079,1.395
34,0.159,-0.929,1.521,1.426,0.008
35,-0.626,-1.897,-0.75,0.328,-2.598
36,0.566,-0.808,-0.969,-1.253,1.124
37,0.663,0.344,-0.927,2.52,-1.818
38,0.376,-0.156,0.503,2.123,0.803
39,-0.272,0.178,0.143,1.404,-1.277
40,-0.362,1.166,0.623,-0.248,-0.376
41,-1.329,-0.086,1.472,-0.289,0.952
42,-0.31,-0.939,0.585,0.232,-0.516
43,0.201,0.772,-0.283,-0.287,-1.037
44,-2.391,0.571,-2.818,-0.376,1.788
45,-1.475,0.519,-0.557,-1.515,-1.263
46,-0.473,-0.134,-0.971,-0.013,-0.793
47,0.807,-0.947,0.002,-0.365,0.258
48,0.139,0.195,0.501,1.079,1.14
49,1.048,1.365,0.733,-0.884,0.502
50,-0.223,0.322,0.401,0.617,0.6
51,0.182,0.235,1.799,-0.652,1.54
52,1.491,1.507,0.325,-0.133,0.381
53,0.878,-0.062,-0.751,-0.503,2.46
54,-0.774,-1.745,-0.228,-1.312,-0.637
55,-0.595,2.68,-0.362,0.853,0.479
56,3.184,-2.368,1.854,0.336,-0.304
57,-0.436,0.399,0.193,1.59,-0.386
58,0.369,-1.326,-0.526,-1.451,-1.093
59,1.169,0.96,0.448,0.638,0.44
60,-1.687,1.031,0.579,-1.238,1.551
61,-0.253,1.577,0.265,1.741,0.803
62,-0.131,1.548,0.659,-0.408,-0.417
63,1.34,0.176,-0.173,-2.222,-0.72
64,0.409,0.036,0.163,0.133,0.04
65,-0.418,1.923,0.651,0.487,0.446
66,-0.421,0.309,0.644,0.095,0.211
67,-0.163,1.712,0.744,0.988,1.626
68,0.922,-0.995,0.138,-0.206,0.643
69,0.442,0.862,1.23,0.481,1.019
70,-1.093,-0.075,-0.315,0.943,0.506
71,-0.522,-1.198,1.481,0.412,-0.619
72,-0.065,1.369,1.286,-0.406,0.645
73,0.686,-1.544,-0.82,0.046,2.373
74,0.634,0.71,0.577,0.912,0.787
75,0.939,1.218,-0.456,0.882,0.129
76,0.018,-1.204,0.161,1.093,1.186
77,0.521,-1.343,-0.181,-1.669,-1.389
78,0.175,-0.77,1.003,1.134,-1.579
79,1.105,0.175,-0.742,-0.098,-0.977
80,-0.03,-2.44,-0.717,-0.823,0.341
81,0.042,-1.37,-0.292,-0.926,-0.634
82,-0.023,-0.906,-1.201,-0.049,-1.256
83,-0.935,0.693,-0.967,1.586,-1.58
84,0.321,0.163,-0.202,-1.251,0.849
85,-0.944,0.462,0.991,0.204,1.748
86,-0.907,1.73,-0.51,1.916,2.677
87,1.74,1.221,0.427,-0.025,0.096
88,-1.506,-0.699,1.638,1.935,0.706
89,0.557,0.848,0.765,-1.041,-0.654
90,1.134,-0.509,-1.508,-0.761,0.471
91,-0.555,-1.657,-1.489,1.362,1.337
92,-1.181,2.194,-0.266,-0.736,0.032
93,-1.781,-0.622,-0.452,0.119,0.083
94,0.047,1.094,-0.111,1.165,0.531
95,-2.204,-0.399,-0.79,-0.663,-1.676
96,0.14,0.416,0.826,0.06,0.024
97,0.699,0.672,0.38,-0.016,-0.918
98,-0.458,0.771,-0.401,0.074,-0.295
99,-0.287,2.203,0.525,0.84,-0.4
