data,at1,at2,at3,at4,at5
0,0.847,-0.632,-3.097,0.142,0.166
1,0.196,0.286,0.94,-0.695,-1.999
2,0.222,0.794,-0.01,0.939,1.822
3,0.275,0.52,1.3,1.098,-1.511
4,-1.74,-0.267,-0.576,-1.249,1.159
5,0.785,0.083,-0.679,-1.031,0.375
6,1.358,0.345,1.238,1.004,-0.574
7,0.394,-1.455,0.194,-0.052,-1.003
8,0.468,-0.241,-0.525,-0.824,0.374
9,0.292,-1.912,1.422,-0.39,-0.02
10,0.883,-0.957,0.191,-0.169,0.405
11,-0.484,1.124,-1.896,-1.01,2.341
12,-1.316,-0.68,0.246,0.307,-0.618
13,-0.385,1.745,-0.885,0.764,0.063
14,-0.445,0.931,-2.434,-0.721,-0.232
15,-0.745,-0.575,0.48,-0.182,1.176
16,0.927,-1.382,1.907,0.842,-0.589
17,0.831,0.723,0.887,1.04,-0.835
18,-1.392,0.328,0.985,-0.063,0.011
19,1.061,-0.681,0.383,0.162,-0.232
20,0.445,-0.465,0.389,-0.889,-0.794
21,0.928,1.243,-0.438,-0.11,0.298
22,-1.362,-0.688,-0.036,0.162,-1.477
23,-0.55,0.409,0.774,1.611,1.342
24,0.156,2.031,-0.889,0.268,-0.167
25,0.837,-0.134,0.195,0.423,0.171
26,0.407,-0.108,-0.531,1.352,0.874
27,0.402,-0.978,-0.199,-0.026,2.568
28,0.496,-0.504,-0.818,-1.049,-0.835
29,0.929,0.445,1.148,-0.511,-3.602
30,0.814,0.115,0.42,-1.747,-1.572
31,1.058,-0.172,0.332,1.888,1.333
32,-0.888,1.475,-1.15,-1.459,-1.127
33,-0.57,0.421,0.177,-0.765,-0.497
34,0.53,-2.998,0.071,-0.074,1.004
35,1.113,2.042,-1.122,1.919,0.995
36,0.867,0.266,-0.782,0.73,0.678
37,-0.49,0.086,0.701,0.203,0.539
38,-0.353,-1.273,0.526,-0.38,0.933
39,0.108,-0.262,-1.516,1.182,-0.468
40,-1.167,-0.264,0.308,0.631,-0.101
41,-0.335,-0.986,0.095,0.731,-0.455
42,1.188,1.274,0.034,0.452,-0.419
43,0.687,-0.142,-0.225,0.715,-0.278
44,-0.581,-1.72,-1.211,-1.89,-0.375
45,0.365,0.361,2.715,0.734,0.931
46,0.969,1.043,1.821,1.101,0.061
47,0.047,-0.297,1.796,-2.001,-0.958
48,0.268,-0.377,-0.129,-0.142,-0.898
49,0.666,-0.249,0.574,-1.029,0.945
50,0.137,-1.356,0.289,0.43,-0.127
51,-0.191,0.927,0.745,-0.193,0.502
52,0.43,1.371,0.345,-1.025,-1.323
53,-3.128,0.64,-0.81,0.059,-0.326
54,0.19,-0.46,-0.584,0.655,1.156
55,-1.546,0.174,0.594,1.352,0.48
56,-0.237,-0.039,0.435,1.351,1.808
57,0.634,0.889,0.335,0.846,0.448
58,0.502,-2.758,-0.951,-1.318,1.024
59,0.057,0.969,-0.796,-3.315,0.097
60,0.228,-0.165,0.364,0.572,0.711
61,0.006,1.282,-0.189,0.133,0.658
62,0.256,-0.77,-0.311,0.562,-0.454
63,-0.779,1.086,0.923,0.922,-1.258
64,-1.531,-0.144,-1.114,0.471,0.695
65,1.406,-0.158,0.972,-2.138,-0.473
66,-0.44,-0.404,0.549,0.361,0.259
67,0.586,-2.146,-1.919,1.618,0.101
68,-1.094,0.892,0.756,-0.222,1.028
69,1.274,0.395,1.017,2.213,-0.489
70,-1.022,-1.128,0.027,0.366,1.517
71,-0.459,0.697,0.863,0.922,-2.547
72,-2.06,-2.799,0.332,0.82,0.975
73,0.064,-1.153,-1.2,-0.402,-1.1
74,1.535,-0.37,-1.51,0.818,-1.89
75,0.599,0.378,-0.93,-1.887,0.536
76,0.12,-1.347,1.651,-0.026,-0.649
77,1.038,-0.377,1.089,-0.432,0.281
78,0.146,1.433,-0.464,-0.485,0.162
79,1.763,0.087,0.405,0.764,2.316
80,0.665,0.861,-1.537,1.969,-0.638
81,0.921,-0.898,0.004,0.801,0.467
82,-0.945,0.555,-0.147,1.078,1.976
83,1.78,1.508,0.381,-0.466,-1.153
84,0.349,-0.126,1.432,-0.414,0.635
85,0.306,0.063,-0.702,0.584,0.452
86,-0.117,1.322,0.045,-0.773,0.049
87,0.231,-0.392,-2.05,-0.376,-1.675
88,-0.672,-0.516,0.71,-0.871,-0.102
89,-0.292,1.096,0.535,1.399,-0.852
90,-1.017,-1.257,-1.143,-0.286,0.952
91,0.48,1.244,-0.661,-0.832,1.203
92,-0.563,-0.727,0.793,0.164,-0.319
93,-0.273,2.332,-0.83,-1.718,0.453
94,-0.313,0.078,-0.28,-1.858,0.304
95,0.86,0.045,-0.466,0.767,-0.359
96,-0.798,0.052,-0.466,-1.042,-0.448
97,-1.146,0.34,-1.59,0.354,-2.107
98,-0.195,-1.728,-0.026,-0.037,0.156
99,0.333,-0.852,0.455,1.119,-0.695
