data,at1,at2,at3,at4,at5
0,0.183,0.841,-0.297,0.555,0.437
1,0.175,-0.552,-0.422,0.34,-1.381
2,0.356,-0.031,0.117,0.877,0.199
3,1.351,0.382,-0.464,1.568,0.474
4,-0.392,-1.082,0.35,-1.351,-1.863
5,-0.634,0.456,-1.109,1.119,-0.362
6,0.171,0.059,-1.685,-0.517,-0.821
7,0.451,-0.026,-1.25,-0.59,0.06
8,1.184,0.31,-0.339,-2.174,-0.543
9,-0.618,-1.432,-1.022,-1.155,0.741
10,-0.037,-0.437,-1.159,0.374,0.239
11,-1.029,-0.472,-1.477,-0.585,-0.119
12,0.235,0.281,-0.821,0.494,-1.101
13,-1.414,1.688,-0.409,-0.101,-0.318
14,0.516,1.388,-1.815,-2.079,0.716
15,1.105,2.477,0.793,1.949,-0.73
16,1.252,-0.487,1.531,0.502,0.49
17,0.285,0.124,1.654,1.928,-0.244
18,-1.281,0.517,-0.348,0.01,-0.145
19,1.318,0.792,-0.038,-0.584,-0.535
20,-1.029,-0.403,0.336,1.654,0.617
21,0.59,0.502,-1.642,1.906,2.321
22,-0.048,-1.235,0.061,0.295,0.647
23,0.377,-0.801,1.99,0.653,0.612
24,-1.846,-0.343,1.345,-0.832,0.231
25,-1.073,0.421,1.928,1.822,-1.061
26,-1.341,0.693,-0.211,-0.464,1.495
27,-0.095,-1.727,-0.916,1.547,0.077
28,-1.178,0.4,0.123,0.458,-0.488
29,-0.798,-0.355,2.142,-1.158,-0.563
30,-1.726,0.145,-0.477,1.922,-0.372
31,-0.686,0.372,-0.792,1.727,0.744
32,0.901,-0.27,-0.762,-0.557,-1.102
33,0.055,-0.521,-0.286,-0.678,0.472
34,0.356,0.317,-0.548,-1.486,-0.673
35,0.764,0.177,-0.506,-0.162,-0.039
36,1.563,-0.988,-1.081,-0.059,1.292
37,-0.255,-0.192,0.641,-0.988,1.796
38,-1.259,1.391,-0.012,0.134,-1.456
39,-0.788,-0.841,0.215,0.068,-0.301
40,0.581,-0.792,0.887,0.525,-0.456
41,-1.872,0.738,-0.623,0.023,0.586
42,0.72,-0.218,-0.733,-0.938,1.059
43,0.714,0.114,-0.334,0.842,0.336
44,-0.967,0.775,0.169,-0.142,0.71
45,-0.082,-2.311,0.587,-0.796,0.393
46,0.305,0.669,1.577,-0.419,-0.647
47,-0.658,-0.55,0.653,-0.926,0.926
48,-0.506,0.548,1.021,0.028,0.315
49,1.007,-1.267,-0.366,0.797,-0.452
50,-0.673,-0.218,-0.105,-0.041,-1.18
51,0.383,-1.184,-1.049,-0.298,-0.122
52,0.879,0.108,-1.26,-0.501,0.506
53,0.819,0.516,-2.004,0.218,1.63
54,-0.634,-0.103,0.029,-0.551,-1.556
55,-0.543,0.263,-1.899,-1.269,-0.99
56,0.294,0.147,0.225,0.74,-0.453
57,0.011,0.017,0.766,-0.593,-0.742
58,0.516,-0.849,0.267,-1.86,-0.477
59,-0.493,0.006,-0.288,-1.404,-1.189
60,0.366,0.596,0.33,-0.392,-0.453
61,-0.899,0.718,-0.732,0.542,-1.897
62,1.632,-0.209,1.171,1.92,-0.239
63,-0.789,-0.089,-0.696,0.921,0.451
64,1.666,1.011,-0.507,-1.705,-1.465
65,-1.237,-0.046,0.546,-0.412,-0.379
66,-2.748,0.846,1.511,1.181,1.297
67,-0.758,-0.353,-0.851,-1.975,-1.735
68,0.107,-1.551,-1.859,0.518,-1.005
69,-0.584,-0.11,-0.518,0.137,-0.094
70,-1.047,0.949,0.983,0.238,-0.19
71,0.194,-0.019,0.312,0.324,-1.183
72,1.11,-0.202,0.273,-1.246,-0.262
73,-1.319,-0.505,0.629,-0.769,-1.77
74,0.694,-0.508,-0.886,1.36,0.778
75,-0.038,-2.025,-0.044,0.202,1.358
76,0.139,0.43,-1.904,-1.038,0.657
77,-1.241,-1.283,0.202,-0.267,-0.962
78,-1.873,0.04,-0.048,-0.403,-1.265
79,-0.166,0.667,-0.108,-1.509,0.078
80,0.742,-0.677,1.44,-0.016,0.691
81,-0.266,1.677,2.552,0.932,-0.982
82,0.744,-1.366,1.468,0.969,-0.491
83,1.318,-1.564,-0.502,-0.258,0.536
84,-1.74,-1.591,1.439,2.3,-0.23
85,0.003,-0.721,-1.501,1.613,0.777
86,0.718,-0.076,2.477,0.308,-0.602
87,-0.82,-0.188,-0.191,-0.209,1.237
88,0.211,-0.979,-0.636,-2.502,-0.801
89,1.435,0.047,-0.113,0.711,-0.241
90,0.527,-0.474,-1.525,-0.866,-0.409
91,-0.221,1.305,1.691,-0.073,-0.596
92,1.133,-1.319,0.979,-0.517,0.336
93,0.507,-0.811,-0.829,1.524,0.088
94,-1.154,0.648,1.901,-0.252,-0.937
95,2.618,0.17,-2.304,-1.718,2.179
96,0.299,0.988,1.128,0.088,0.63
97,0.424,-0.35,2.145,-1.083,-0.614
98,-0.372,0.336,-1.405,0.822,-1.796
99,0.371,0.408,0.318,1.631,0.631
