data,at1,at2,at3,at4,at5
0,0.356,0.529,-1.284,-2.295,2.069
1,1.658,0.666,0.479,-0.029,-0.096
2,-1.79,0.005,0.716,0.01,-0.453
3,0.042,0.575,1.157,-0.941,0.401
4,-0.445,0.235,-0.17,0.344,1.441
5,1.221,-0.354,0.858,2.452,1.699
6,-0.205,0.461,2.047,-0.085,0.33
7,-0.813,0.468,0.054,-0.237,-1.237
8,1.336,0.493,0.774,1.034,1.221
9,-0.256,0.605,1.11,-0.356,-2.475
10,-0.274,1.354,0.35,-0.325,-0.784
11,0.61,-1.068,-0.363,0.289,-0.35
12,-0.51,0.644,0.34,-0.485,1.457
13,2.321,-0.128,-0.199,0.555,-0.036
14,-0.034,0.886,0.524,1.169,0.261
15,0.275,0.214,-0.443,-0.819,-2.439
16,-0.421,0.95,1.241,-0.458,-0.686
17,-1.353,-0.68,-0.41,-0.567,0.286
18,1.679,0.273,-2.552,0.945,-0.22
19,1.602,-0.881,-0.51,-0.003,-0.081
20,-0.579,-0.646,1.048,0.445,0.743
21,2.395,0.385,1.159,0.13,0.111
22,-0.642,0.368,2.268,-0.162,2.169
23,0.155,0.561,0.177,-2.207,-0.36
24,-0.843,-0.62,0.033,-0.3,-0.11
25,0.852,-0.047,-1.544,-1.652,-0.315
26,-0.812,0.709,0.965,1.607,3.041
27,0.467,-1.751,0.616,-0.096,-0.326
28,0.37,-0.786,0.785,0.656,0.666
29,0.422,0.275,0.125,1.809,-0.822
30,-0.289,-0.918,-0.644,-0.318,-0.61
31,-0.645,-0.416,-0.026,1.776,0.465
32,0.912,-0.03,0.98,-0.398,-0.01
33,-0.267,-0.11,-2.241,0.645,1.008
34,-1.222,-0.004,-0.853,0.193,-1.24
35,0.925,-0.205,2.116,0.34,1.643
36,0.47,-0.487,0.695,0.855,-0.098
37,-1.113,-0.442,-2.146,-1.048,0.621
38,0.678,0.312,0.669,-2.537,0.634
39,1.031,0.991,-0.157,-0.934,1.085
40,-0.744,-0.353,-0.264,0.5,1.237
