data,at1,at2,at3,at4,at5
0,-0.656,0.136,-0.407,-1.109,-0.405
1,1.154,-1.515,0.802,1.187,0.839
2,0.425,-1.096,-0.654,1.462,-0.242
3,1.831,1.54,-1.802,0.739,1.274
4,0.541,-1.153,-0.624,-0.078,-0.227
5,-0.419,0.491,-1.305,-0.843,-0.507
6,2.589,-3.314,0.186,-1.382,-0.071
7,0.489,0.414,1.665,0.713,-0.478
8,-0.014,1.652,-0.557,-0.069,-0.749
9,0.135,0.52,1.053,-0.331,-0.597
10,0.832,1.663,-0.237,0.249,-0.73
11,1.192,-1.068,1.05,0.594,0.836
12,-0.377,-1.328,-0.405,0.062,-0.226
13,1.115,-0.67,-0.302,-1.017,-0.169
14,2.661,0.44,0.459,-0.118,0.491
15,-1.072,-1.121,1.639,-0.636,1.578
16,0.524,0.126,0.492,0.127,1.212
17,0.327,-0.786,-0.119,-0.048,0.728
18,0.596,0.592,1.474,-1.185,1.684
19,0.177,1.161,-0.201,1.17,0.278
20,1.528,-1.815,0.443,-0.441,-0.022
21,0.563,2.048,-1.103,-0.199,-1.411
22,0.225,-0.823,-1.708,0.946,-1.925
23,1.267,0.796,-2.386,-1.541,-0.079
24,-0.244,0.847,-1.604,0.522,0.619
25,1.314,0.225,1.058,0.869,-0.253
26,-0.416,-1.63,-1.85,1.158,0.683
27,-1.648,-0.975,-1.016,-1.028,1.251
28,0.601,-2.871,-0.844,0.095,-0.276
29,0.36,-2.261,2.052,0.24,0.504
30,-0.943,-0.535,1.366,-0.186,0.404
31,-0.782,-1.294,0.64,-0.771,0.665
32,-1.382,0.353,-0.586,1.499,-0.868
33,0.978,-0.772,-0.524,-0.636,-0.402
34,-0.789,1.019,0.414,-0.48,1.002
35,1.467,0.369,-0.453,-0.317,0.349
36,1.252,-1.034,0.137,0.967,-0.525
37,-0.204,1.113,-0.323,0.205,0.742
38,-0.682,1.624,1.361,-0.675,-1.459
39,-1.551,-0.782,2.006,0.043,-1.939
40,0.091,0.063,0.057,0.236,2.575
41,0.696,1.313,-2.114,1.135,-1.505
42,-1.235,0.38,-0.12,-0.649,-1.012
43,-0.919,-0.147,0.246,0.9,-1.179
44,-0.216,0.005,-1.459,-0.19,1.406
45,0.171,-0.85,-1.196,-0.492,0.412
46,-0.747,-1.229,-2.292,0.595,0.658
47,-0.383,-0.182,2.931,-0.871,-0.531
48,-0.093,0.605,0.153,0.032,0.84
