data,at1,at2,at3,at4,at5
0,1.117,-1.993,-0.347,0.887,-1.26
1,-0.624,0.31,0.237,0.472,1.519
2,-0.46,-0.077,-0.381,0.147,-0.547
3,1.008,-0.461,0.474,-0.245,-2.47
4,-1.121,-1.697,1.329,-0.973,0.277
5,0.043,0.224,1.517,-0.163,0.201
6,-0.429,2.861,0.173,1.315,0.564
7,0.514,0.028,0.339,0.777,0.384
8,1.454,1.366,0.5,0.813,-0.616
9,-0.065,0.276,-1.326,-0.699,-1.347
10,0.151,-0.742,0.62,-0.403,-0.1
11,0.09,-0.936,0.54,0.826,-0.134
12,-0.54,-0.869,-0.49,0.838,0.496
13,-0.015,-0.194,0.635,0.245,1.442
14,-2.014,0.954,0.11,0.29,1.326
15,0.022,-0.982,-0.534,0.072,-1.164
16,0.845,-0.089,-0.155,-0.422,-1.001
17,-0.451,-1.703,-1.059,-0.125,-0.392
18,-3.092,0.247,-0.325,-0.755,-0.155
19,1.598,-2.125,1.576,-0.011,1.393
20,0.767,0.76,-0.52,0.677,-1.606
21,-0.836,1.018,0.865,0.382,0.716
22,-0.483,1.733,0.108,-0.757,0.546
23,-1.141,0.695,0.032,0.737,-0.36
24,-0.91,-0.109,0.093,0.965,-0.714
25,1.217,-0.07,1.025,0.004,-1.529
26,-0.625,0.418,0.697,1.113,-0.163
27,-0.402,1.115,-0.869,1.149,-1.258
28,-0.134,-0.864,1.739,1.637,-0.41
29,-0.295,-0.008,0.21,0.82,0.819
30,0.659,1.701,-1.442,-2.682,1.439
31,-0.216,-1.103,2.249,0.067,-0.137
32,-1.211,-0.857,-1.816,0.818,1.438
33,-0.268,-1.134,1.135,-1.418,0.768
34,-0.057,-1.315,0.5,-0.319,-1.452
35,-1.105,1.718,-1.206,0.188,1.048
36,-0.371,-1.024,0.012,0.613,-1.46
37,-0.027,0.957,0.768,-0.133,1.223
38,-0.106,0.795,1.449,-0.4,-0.309
39,-0.106,0.287,-1.287,0.181,-1.483
40,-1.217,1.179,0.383,-0.272,-0.733
41,-0.675,-0.746,0.781,-0.313,-0.524
42,-2.16,-1.398,-0.345,-0.357,-0.355
43,-1.461,1.063,0.757,0.048,0.197
44,-1.301,0.385,0.434,0.753,0.555
45,-1.224,1.413,-0.532,0.636,-0.97
46,0.31,-0.594,-0.208,-0.153,0.453
