data,at1,at2,at3,at4,at5
0,-0.962,0.264,1.256,-0.068,0.356
1,1.114,1.172,1.362,1.062,0.111
2,-1.09,-0.458,-0.654,-0.487,2.956
3,-0.884,1.393,-1.098,0.708,-1.891
4,-0.608,0.403,0.895,0.542,-0.28
5,0.019,0.031,1.434,1.063,-0.816
6,-1.375,1.503,-0.977,0.629,0.454
7,0.019,-0.289,-0.764,-1.233,0.536
8,0.873,0.593,-0.349,-0.482,-1.331
9,1.373,0.469,1.353,-1.302,-0.398
10,1.264,0.393,0.961,2.189,-1.925
11,-0.939,-1.187,0.63,0.564,3.357
12,-0.021,0.636,-0.406,0.905,2.015
13,0.851,0.319,0.629,0.745,0.838
14,-0.927,0.794,-0.005,-0.277,-1.187
15,-0.536,-0.276,1.249,-1.644,-0.188
16,-0.805,-0.711,0.396,-1.102,-2.02
17,-1.601,0.865,2.342,-0.909,-0.581
18,-0.908,0.057,-0.9,0.162,1.859
19,-0.823,-2.465,-1.356,1.775,1.022
20,-0.507,0.17,0.226,0.356,-1.679
21,-1.023,0.855,-0.504,-1.728,0.735
22,0.881,-1.399,0.778,-1.589,0.465
23,2.369,-1.025,-0.108,1.038,-1.443
24,-1.287,-0.617,-0.117,0.327,-0.865
25,-0.046,-1.853,-2.402,0.454,2.393
26,-0.384,2.983,2.168,-1.128,0.121
27,0.316,-0.912,-0.051,0.417,0.77
28,-0.292,-0.207,0.258,-0.422,0.666
29,-1.346,0.439,-0.363,-1.528,-0.174
30,-2.621,-0.101,-1.475,-0.935,0.193
31,-0.881,-0.109,-0.103,-1.094,0.818
32,-0.881,-1.568,0.658,0.093,1.046
33,1.286,-0.07,-1.564,-0.063,-0.244
34,1.466,-1.222,-0.691,1.325,-0.409
35,-1.363,0.658,-0.838,0.111,0.374
36,-0.635,-1.087,-0.608,0.439,0.911
37,-1.55,0.648,-0.946,0.388,0.596
38,-1.628,-0.256,0.141,-1.789,-0.801
39,1.629,-3.207,0.374,0.207,0.041
40,-1.365,-2.103,-0.382,0.337,1.051
41,0.409,-0.522,0.004,-1.114,0.96
42,-0.274,-0.14,-2.803,0.444,0.232
43,0.341,-0.441,1.664,0.377,-0.181
44,-1.639,0.137,0.438,0.223,-0.67
45,0.11,0.745,0.425,1.522,0.923
46,-0.47,0.286,0.434,0.804,0.851
47,-0.476,0.918,-0.041,0.486,-0.258
48,0.7,-0.024,-0.973,-0.012,-0.749
49,1.244,1.062,0.297,1.231,0.59
50,0.799,1.295,0.351,-0.321,0.702
51,0.697,0.21,-0.273,0.885,-0.194
52,-0.202,-2.533,-1.396,-0.976,-1.404
